Total Pressure [bar],Feed_yCO2,Feed_yCH4,partial_pressure_CO2 [bar],partial_pressure_CH4 [bar],IAST Loading CO2 [mmol/g],IAST Loading CH4 [mmol/g],Selectivity_CO2_CH4,Adsorbed_xCO2,Adsorbed_xCH4
1.0,0.75,0.25,0.75,0.25,0.7016766764912195,0.0652517373048004,3.5844597424974047,0.9149180860546974,0.08508191394530262
2.0,0.75,0.25,1.5,0.5,1.3079429737871464,0.1193497864318349,3.652968340344598,0.9163803041966501,0.08361969580334994
3.0,0.75,0.25,2.25,0.75,1.837847340160141,0.16470406900136358,3.7194939005927563,0.9177528885161917,0.08224711148380826
4.0,0.75,0.25,3.0,1.0,2.3054232465322415,0.20306876854642453,3.784306277186403,0.9190474726147151,0.08095252738528504
5.0,0.75,0.25,3.75,1.25,2.7213780325336687,0.2357650923169988,3.8475840589024806,0.9202726813133522,0.07972731868664784
6.0,0.75,0.25,4.5,1.5,3.094055043840452,0.263808978781929,3.909463908477093,0.9214354789221325,0.0785645210778675
7.0,0.75,0.25,5.25,1.75,3.4300644411545496,0.2879945410558672,3.970057243190548,0.922541696505134,0.07745830349486604
8.2,0.75,0.25,6.1499999999999995,2.05,3.792279755885165,0.31280126597241875,4.041202480533385,0.9238014391660232,0.0761985608339768
1.0,0.8,0.19999999999999996,0.8,0.19999999999999996,0.7462887497487388,0.05200587492871231,3.5875213654790112,0.9348537829003607,0.0651462170996393
2.0,0.8,0.19999999999999996,1.6,0.3999999999999999,1.3877355677677532,0.09481785102488977,3.658951222706659,0.9360442262497987,0.06395577375020134
3.0,0.8,0.19999999999999996,2.4000000000000004,0.5999999999999999,1.9458191915788017,0.13047643487592778,3.728296211934962,0.9371590282166533,0.06284097178334669
4.0,0.8,0.19999999999999996,3.2,0.7999999999999998,2.4362462043653186,0.16045497995672808,3.79584074770121,0.9382081461950654,0.06179185380493446
5.0,0.8,0.19999999999999996,4.0,0.9999999999999998,2.8709202892695296,0.1858550473925343,3.861773367938207,0.9391989835944292,0.060801016405570785
6.0,0.8,0.19999999999999996,4.800000000000001,1.1999999999999997,3.2590617643265127,0.20751807684856402,3.926238395492658,0.9401375169890157,0.0598624830109844
