Pressure (bar),10.1002chem.200902144.Isotherm1-1-preexp.json,10.1002chem.200902144.Isotherm4.json,10.1016j.ces.2011.09.009.isotherm6.json,10.1016j.memsci.2011.09.040.Isotherm2.json,10.1016j.seppur.2019.115850.Isotherm8.json,10.1021jp206959k.Isotherm6.json,Consensus_Mean_mmol_g,Consensus_Std_mmol_g,Consensus_SEM_mmol_g,Consensus_CI_Lower_mmol_g,Consensus_CI_Upper_mmol_g
0.01,0.003007783519224143,0.0024850643143587256,0.0028922323972659547,0.0027901934977613654,0.0037562267232257134,0.002911182700780546,0.002900348028758002,7.723286040141855e-05,3.8616430200709275e-05,0.0027774533131424872,0.003023242744373517
0.011942771623577339,0.003591973267433907,0.002967755658922095,0.0034539987293381227,0.003329009536087419,0.004485753537878815,0.003476628871396801,0.0034629026010640626,9.334650394491852e-05,4.667325197245926e-05,0.003314367482768708,0.003611437719359417
0.01426297940529241,0.004289588225764426,0.003544177780656113,0.004124845442435104,0.003971387713912113,0.0053569103642570025,0.004151869531002992,0.004134422728278658,0.00011297440290718096,5.648720145359048e-05,0.0039546552427168315,0.004314190213840485
0.017033950570919415,0.00512263292843115,0.0042325200469267715,0.004925938174140766,0.004737065389626621,0.0063971673477311395,0.004958208690552396,0.004935961295687733,0.00013693181648431199,6.846590824215599e-05,0.0047180722189645525,0.0051538503724109135
0.02034325815157954,0.006117372715973276,0.005054496400856201,0.005882542737915411,0.0056494842434646,0.007639310994452884,0.005921077256516729,0.0058926192384675035,0.00016623789136405246,8.311894568202623e-05,0.0056280976568826155,0.006157140820052392
0.024295488618379237,0.007305155118929771,0.0060360259526660645,0.007024816358135997,0.006736465949749492,0.009122467790167428,0.007070829383378718,0.007034316702548495,0.00020217068972542486,0.00010108534486271243,0.00671261802027177,0.007356015384825219
0.029015547205252575,0.008723387936240853,0.007208043921630564,0.008388750218711846,0.00803100442212029,0.0108933225275272,0.008443691100780751,0.008396708419463435,0.0002463379922269653,0.00012316899611348266,0.008004729702856511,0.00878868713607036
0.03465260538054592,0.010416703154450105,0.008607467409554799,0.01001729163941268,0.009572192457081984,0.013007567300562774,0.010082889701304347,0.010022269238062279,0.0003007685323577845,0.00015038426617889226,0.009543679385788378,0.010500859090336179
0.04138481522218072,0.012438340934973093,0.010278344864027471,0.011961679208857445,0.011406302525397162,0.015531623273903682,0.012039997416395812,0.011961580021405878,0.0003680296740598213,0.00018401483702991064,0.011375962683182554,0.012547197359629203
0.049424939688245136,0.014851793705794387,0.012273223148033113,0.01428302997504236,0.013588043289578468,0.018544684305295236,0.014376528708849735,0.014274848919816237,0.00045137926651436414,0.00022568963325718207,0.013556603780315958,0.014993094059316515
0.05902707672057954,0.01773275695779076,0.01465477192891477,0.017054224374169032,0.0161820150083945,0.022141139288543183,0.01716583712048589,0.017033708365210044,0.0005549615805231823,0.00027748079026159117,0.016150640649454685,0.017916776080965403
0.07049468968812597,0.021171440646668926,0.0174977116693074,0.02036214198499261,0.01926438811425559,0.02643343861408549,0.020495365050245424,0.020323333949040637,0.000684059941636466,0.000342029970818233,0.019234841932113667,0.021411825965967607
0.08419019796202405,0.025275303047124546,0.020891098840340155,0.02431030939115355,0.022924829627479767,0.03155547922446072,0.0244693080604177,0.024244937531543893,0.00084542202306397,0.000422711011531985,0.022899682434690954,0.025590192628396832
0.10054643072042194,0.03017227728588829,0.024941030009806516,0.029022030287550838,0.027268701317264527,0.03766659200161378,0.02921176418235405,0.028918693268264427,0.0010476778402551483,0.0005238389201275742,0.02725160403234033,0.030585782504188523
0.12008030596598399,0.03601456920231485,0.029773835002371365,0.0346440772023966,0.03241955113051307,0.04495622402149449,0.03487044793479743,0.03448716136750549,0.0013018753740142409,0.0006509376870071204,0.03241558713051939,0.036558735604491584
